STRING_gene,CTL1,CTL2,CTL3,CTL4,RX1,RX2,RX3,RX4,RX5,RX6,RX7,RX8,RX9
Abcb10,1.26,1.32,1.36,1.23,1.24,1.17,1.18,0.59,0.82,0.99,1.14,1.02,1.16
Abcb1a,1.07,1.2,1.26,1.03,1,0.88,1,1.2,0.91,1.1,1.02,1.06,1.02
Abcf1,1.35,1.31,1.28,1.18,1.06,1.07,1.09,0.83,0.75,0.97,1.14,0.95,1.22
Abl1,1.02,0.89,0.98,0.98,1.07,0.85,0.92,1.22,0.94,0.95,1.11,0.96,0.92
Ackr2,0.52,1.1,1.27,0.64,0.78,0.75,0.71,0.72,2.04,1.15,1.02,1.59,0.72
Ackr4,0.1,0.08,0.32,0.25,0.7,0.39,0.08,0.95,2.89,0.71,0.86,0.51,0.08
Adal,1.3,1.07,1.12,1.17,1.3,1.11,1.03,0.88,0.69,0.99,1.03,0.86,1.22
Adgre1,0.19,0.18,0.18,0.15,0.33,0.62,0.49,1.08,2.49,0.37,0.81,0.75,0.32
Adgre5,0.66,0.81,0.89,0.81,0.65,0.91,0.88,0.97,1.6,0.52,0.7,0.69,0.75
Ahr,1.15,1.23,1.04,1.03,1.15,1.01,1.2,0.8,0.84,0.85,1.18,0.82,1.2
Aicda,1,0.76,0.74,1.08,1.78,0.98,0.74,0.76,0.74,1.81,0.93,0.74,0.74
Aire,0.61,0.45,0.74,0.45,0.62,0.6,0.45,1.95,1.38,1.39,0.57,4.65,0.45
Alas1,0.95,1.1,1.1,1.12,1,0.92,1.04,0.99,1.04,1.07,0.9,1.05,1.05
App,1.27,1.21,1.22,1.19,1.17,1.01,1.07,0.93,0.82,1.04,1.1,0.96,1.12
Arhgdib,0.42,0.39,0.38,0.35,0.49,0.73,0.59,1.3,1.88,0.52,0.8,0.78,0.44
Atg16l1,1.22,1.05,1.21,1.01,1.11,0.99,1.04,1.17,0.7,1.21,0.94,0.97,1.05
Atm,1.25,1.09,1.26,0.92,1.26,0.86,0.99,1,0.88,1.02,1.01,1.3,1
B2m,0.44,0.42,0.4,0.44,1.11,0.85,0.63,1.24,1.76,0.82,0.87,0.85,0.78
Batf,0.14,0.04,0.04,0.04,0.48,0.69,0.83,1.39,1.85,0.65,0.61,0.59,0.22
Batf3,0.43,0.62,0.82,0.87,0.57,0.47,0.79,1.53,1.64,0.9,1.06,1,0.72
Bax,1.09,1.01,0.99,0.89,1.08,0.9,0.95,1.13,0.95,1.01,0.94,0.92,0.89
